Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
3–5 Nov,Deltapoll,,GB,1560,40%,37%,8%,3%,6%,2%,1%,3% UKIP on 2% Other on 1%,3
4 Nov,Omnisis,The Byline Times,UK,1004,35%,41%,5%,5%,7%,5%,1%,2%,6
3–4 Nov,YouGov,The Times,GB,1699,36%,35%,8%,5%,9%,5%,0%,2%,1
29 Oct – 4 Nov,Ipsos,Evening Standard,GB,1007,35%,36%,9%,5%,11%,1%,1%,2%,1
1 Nov,Redfield & Wilton,,GB,2000,40%,35%,10%,4%,6%,3%,0%,2%,5
29–31 Oct,Savanta ComRes,,UK,2242,40%,35%,9%,5%,4%,3%,1%,4%,5
27–29 Oct,Opinium,The Observer,GB,2001,40%,35%,8%,5%,7%,—,1%,5%,5
27–28 Oct,YouGov,The Times,GB,1699,39%,33%,8%,5%,10%,3%,1%,2%,6
25 Oct,Redfield & Wilton,,GB,2000,39%,36%,10%,4%,6%,4%,0%,1%,3
22–24 Oct,Savanta ComRes,,UK,2092,37%,35%,8%,5%,7%,4%,1%,5%,2
20–21 Oct,YouGov,The Times,GB,1677,37%,33%,9%,5%,10%,4%,1%,2%,4
18 Oct,Redfield & Wilton,,GB,2000,40%,37%,9%,4%,5%,3%,1%,1%,3
14–18 Oct,Kantar Public Archived 21 October 2021 at the Wayback Machine,,GB,1075,39%,34%,8%,5%,8%,2%,1%,2% UKIP on 1% Other on 1%,5
11–18 Oct,Number Cruncher Politics,,UK,1000,40%,32%,6%,6%,9%,3%,1%,2%,8
15–17 Oct,Savanta ComRes,,UK,2092,40%,35%,8%,4%,5%,3%,1%,4%,5
13–15 Oct,Deltapoll,The Mail on Sunday,GB,3043,38%,37%,9%,4%,6%,2%,1%,3% UKIP on 2% Other on 1%,1
13–15 Oct,Opinium,The Observer,GB,2000,41%,37%,7%,5%,5%,—,1%,4%,4
12–13 Oct,YouGov,The Times,GB,1659,41%,31%,9%,4%,8%,4%,1%,2%,10
11–12 Oct,Omnisis,The Byline Times,UK,501,37%,34%,7%,6%,8%,4%,0%,3%,3
11 Oct,Redfield & Wilton,,GB,2000,40%,36%,9%,4%,6%,4%,0%,1%,4
8–10 Oct,Savanta ComRes,,UK,2103,40%,35%,8%,5%,5%,2%,0%,5%,5
6–7 Oct,Survation,Sunday Mirror,UK,1040,39%,35%,9%,4%,5%,3%,1%,4%,4
5–6 Oct,YouGov,The Times,GB,1667,39%,31%,9%,6%,9%,4%,1%,2%,8
4–5 Oct,Omnisis,The Byline Times,UK,1007,34%,39%,7%,5%,8%,4%,1%,3%,5
4 Oct,Redfield & Wilton,,GB,2000,40%,37%,10%,4%,4%,3%,0%,1%,3
1–3 Oct,Savanta ComRes,,UK,2095,40%,35%,9%,5%,4%,3%,1%,4%,5
1 Oct,Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27],Carla Denyer and Adrian Ramsay are elected co-leaders of the Green Party of England and Wales[27]
29 Sep – 1 Oct,Opinium,The Observer,GB,2004,39%,35%,8%,6%,6%,—,1%,5%,4
29 Sep,Survation,,UK,1001,41%,36%,8%,5%,5%,—,0%,4%,5
28–29 Sep,YouGov,The Times,GB,1833,39%,31%,8%,5%,9%,4%,1%,2%,8
27 Sep,Redfield & Wilton,,GB,2000,41%,35%,10%,4%,5%,3%,0%,2%,6
23–27 Sep,Kantar Public Archived 14 October 2021 at the Wayback Machine,,GB,1089,43%,30%,11%,4%,6%,3%,1%,2% UKIP on 1% Other on 1%,13
22–23 Sep,YouGov,The Times,GB,1690,39%,32%,10%,4%,9%,3%,1%,2%,7
17–23 Sep,Ipsos,Evening Standard,GB,1008,39%,36%,9%,6%,6%,0%,1%,2% UKIP on 0% Other on 2%,3
21–22 Sep,Survation,,UK,1060,40%,35%,8%,4%,4%,—,1%,8%,5
20 Sep,Redfield & Wilton,,GB,2000,41%,35%,8%,4%,7%,3%,0%,2%,6
17–19 Sep,Savanta ComRes,,UK,2112,40%,35%,9%,4%,5%,2%,1%,4%,5
16–17 Sep,Opinium,The Observer,GB,2000,40%,37%,7%,5%,6%,—,1%,4%,3
15–16 Sep,YouGov,The Times,GB,1635,39%,35%,7%,5%,7%,3%,1%,2%,4
9–16 Sep,Panelbase Archived 17 September 2021 at the Wayback Machine,,GB,3938,41%,36%,10%,4%,5%,—,1%,4%,5
10–14 Sep,Survation,,UK,2164,40%,36%,9%,4%,5%,—,1%,4%,4
13 Sep,Redfield & Wilton,,GB,2000,39%,35%,9%,4%,6%,5%,1%,2%,4
10–12 Sep,Savanta ComRes,,UK,2097,39%,35%,9%,4%,6%,3%,1%,5%,4
9–11 Sep,Opinium,The Observer,GB,2059,38%,38%,8%,5%,6%,—,0%,5%,Tie
8–9 Sep,YouGov,The Times,GB,1657,33%,35%,10%,5%,9%,5%,1%,2%,2
6–8 Sep,FindOutNow (MRP),The Sunday Telegraph,GB,10673,37%,33%,12%,5%,8%,4%,—,6%,4
4–8 Sep,Omnisis,The Byline Times,UK,993,34%,39%,9%,5%,6%,3%,1%,3%,5
6 Sep,Redfield & Wilton,,GB,2000,41%,32%,11%,4%,6%,4%,1%,2%,9
3–5 Sep,Savanta ComRes,,UK,2087,40%,36%,9%,4%,4%,3%,1%,4%,4
2–3 Sep,YouGov,The Times,GB,1653,38%,34%,8%,5%,10%,3%,1%,3%,4
2–3 Sep,Deltapoll,The Sun on Sunday,GB,1589,41%,33%,9%,3%,7%,3%,1%,3% UKIP on 3% Other on 0%,8
2–3 Sep,Opinium,The Observer,GB,2014,40%,35%,7%,6%,6%,—,0%,6%,5
29 Aug,Redfield & Wilton,,GB,2000,41%,33%,9%,4%,5%,4%,1%,2%,8
27–29 Aug,Savanta ComRes,,UK,2062,40%,34%,10%,4%,5%,2%,1%,3%,6
25–26 Aug,YouGov,The Times,GB,1703,39%,31%,8%,5%,9%,4%,1%,3%,8
23 Aug,Redfield & Wilton,,GB,2000,43%,33%,10%,3%,6%,3%,0%,1%,10
19–23 Aug,Kantar Public,,GB,1094,37%,34%,14%,4%,5%,2%,1%,3% UKIP on 2% Other on 1%,3
20–22 Aug,Savanta ComRes,,UK,2083,41%,34%,9%,4%,4%,2%,1%,4%,7
19–20 Aug,Opinium,The Observer,GB,2003,39%,36%,8%,6%,6%,—,1%,4%,3
17–18 Aug,YouGov,The Times,GB,1703,40%,32%,9%,5%,8%,3%,1%,3%,8
16 Aug,Redfield & Wilton,,GB,2000,40%,36%,10%,5%,5%,3%,0%,2%,4
13–15 Aug,Savanta ComRes,,UK,2075,41%,34%,9%,4%,4%,2%,1%,4%,7
11–12 Aug,YouGov,The Times,GB,2169,40%,32%,9%,5%,7%,2%,1%,3%,8
9 Aug,Redfield & Wilton,,GB,2000,40%,37%,9%,4%,6%,3%,1%,1%,3
30 Jul – 9 Aug,Ipsos,Evening Standard,GB,1113,41%,30%,13%,6%,8%,0%,1%,2% UKIP on 0% Other on 2%,11
6–8 Aug,Savanta ComRes,,UK,2047,41%,33%,10%,4%,4%,2%,1%,4%,8
5–6 Aug,Opinium,The Observer,GB,2000,42%,35%,7%,6%,5%,—,1%,4%,7
5–6 Aug,YouGov,The Times,GB,1730,41%,33%,8%,5%,7%,3%,1%,2%,8
2 Aug,Redfield & Wilton,,GB,2000,41%,34%,11%,4%,6%,3%,0%,2%,7
30 Jul – 1 Aug,Savanta ComRes,,UK,2100,40%,34%,10%,4%,6%,1%,0%,4%,6
28–29 Jul,YouGov,The Times,GB,1637,39%,34%,8%,4%,9%,3%,1%,2%,5
23–26 Jul,Deltapoll,,GB,1590,42%,37%,6%,3%,6%,2%,1%,4% UKIP on 3% Other on 1%,5
25 Jul,Redfield & Wilton,,GB,2000,40%,36%,9%,4%,6%,4%,0%,2%,4
23–25 Jul,Savanta ComRes,,UK,2161,40%,34%,10%,4%,4%,2%,1%,4%,6
23 Jul,Survation,,UK,1013,39%,37%,10%,4%,5%,—,1%,4%,2
22–23 Jul,Opinium,The Observer,GB,2000,43%,35%,8%,5%,5%,—,1%,3%,8
20–21 Jul,YouGov,The Times,GB,1667,38%,34%,9%,5%,8%,3%,1%,2%,4
19–20 Jul,Survation,,UK,1032,39%,35%,11%,4%,5%,—,1%,5%,4
19 Jul,Redfield & Wilton,,GB,2000,42%,33%,10%,4%,5%,3%,0%,2%,9
16–18 Jul,Savanta ComRes,,UK,2127,41%,34%,8%,4%,5%,2%,1%,4%,7
15–16 Jul,YouGov,The Times,GB,1761,44%,31%,8%,4%,6%,3%,1%,2%,13
5–13 Jul,Survation,,UK,2119,43%,32%,9%,5%,6%,—,1%,5%,11
12 Jul,Redfield & Wilton,,GB,2000,41%,33%,12%,4%,6%,3%,0%,1%,8
7–12 Jul,Kantar Public,,GB,1057,44%,31%,12%,6%,4%,1%,1%,2% UKIP on 1% Other on 1%,13
9–11 Jul,Savanta ComRes,,UK,2137,40%,35%,9%,4%,6%,2%,1%,4%,5
8–9 Jul,Opinium,The Observer,GB,2001,43%,35%,6%,5%,6%,—,2%,3%,8
7–8 Jul,YouGov,The Times,GB,2054,42%,30%,9%,5%,7%,2%,1%,3%,12
2–8 Jul,Ipsos,Evening Standard,GB,1053,40%,31%,13%,6%,6%,0%,1%,3% UKIP on 1% Other on 2%,9
5 Jul,Redfield & Wilton,,GB,2000,43%,34%,8%,4%,6%,4%,1%,1%,9
2–4 Jul,Savanta ComRes,,UK,2176,41%,35%,8%,3%,4%,3%,1%,5%,6
18 Jun – 2 Jul,Panelbase Archived 17 September 2021 at the Wayback Machine,Sunday Times,GB,3391,44%,33%,10%,5%,5%,—,1%,3%,11
1 Jul,Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28],Batley and Spen by-election (Lab hold)[28]
29–30 Jun,YouGov,The Times,GB,1762,42%,31%,10%,5%,6%,3%,1%,2%,11
28 Jun,Redfield & Wilton,,GB,2000,41%,34%,9%,5%,5%,3%,0%,2%,7
25–27 Jun,Savanta ComRes,,GB,2148,42%,33%,9%,4%,5%,2%,1%,5%,9
25–26 Jun,Survation,,UK,1001,41%,35%,10%,3%,5%,—,—,6%,6
23–25 Jun,Opinium,The Observer,GB,2000,43%,35%,7%,5%,5%,—,1%,4%,8
23–24 Jun,YouGov,The Times,GB,1758,42%,30%,9%,5%,7%,4%,1%,2%,12
21 Jun,Redfield & Wilton,,GB,2000,44%,33%,10%,4%,4%,3%,1%,2%,11
18–20 Jun,Savanta ComRes,,UK,2191,44%,30%,10%,4%,5%,1%,1%,4%,14
17–20 Jun,Deltapoll,,GB,2343,41%,35%,10%,2%,5%,2%,0%,5% UKIP on 3% Other on 2%,6
17 Jun,Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29],Chesham and Amersham by-election (LD gain from Con)[29]
16–17 Jun,YouGov,The Times,GB,1642,45%,31%,6%,5%,7%,4%,1%,2%,14
11–15 Jun,Survation,,UK,2024,41%,33%,8%,4%,7%,—,—,6%,9
7–14 Jun,Number Cruncher Politics,,UK,1517,45%,34%,5%,5%,7%,3%,1%,1%,11
13 Jun,Redfield & Wilton,,GB,2000,44%,34%,9%,4%,5%,2%,0%,1%,10
11–13 Jun,Savanta ComRes,,UK,2108,41%,34%,8%,5%,6%,2%,1%,4%,7
10–12 Jun,Deltapoll,The Mail on Sunday,GB,1608,46%,34%,7%,2%,5%,2%,1%,3% UKIP on 3% Other on 0%,12
10–11 Jun,Opinium,The Observer,GB,2002,43%,34%,6%,6%,7%,—,1%,4%,9
9–10 Jun,YouGov,The Times,GB,1630,44%,31%,7%,5%,9%,2%,1%,2%,13
9–10 Jun,Survation,,UK,2017,42%,35%,9%,4%,5%,—,—,5%,7
7 Jun,Redfield & Wilton,,GB,2000,43%,36%,7%,5%,5%,1%,0%,2%,7
3–7 Jun,Kantar Public,,GB,1122,45%,32%,8%,4%,6%,2%,1%,2% UKIP on 1% Other on 1%,13
4–6 Jun,Savanta ComRes,,UK,2089,44%,32%,8%,4%,5%,2%,1%,4%,12
2–3 Jun,YouGov,The Times,GB,1703,46%,30%,6%,4%,9%,2%,1%,2%,16
28 May – 3 Jun,Ipsos,Evening Standard,GB,1002,44%,35%,6%,5%,7%,0%,1%,0% UKIP on 0% Other on 0%,9
1–2 Jun,Survation,,UK,1533,41%,33%,9%,4%,6%,—,1%,5%,8
31 May,Redfield & Wilton,,GB,2000,45%,34%,8%,4%,5%,3%,0%,2%,11
28–30 May,Savanta ComRes,,UK,2180,42%,32%,9%,4%,5%,2%,1%,4%,10
27–28 May,Opinium,The Observer,GB,2004,42%,36%,6%,5%,5%,1%,1%,3% UKIP on 1% Other on 2%,6
27–28 May,YouGov,The Times,GB,1705,43%,29%,8%,5%,8%,3%,1%,2%,14
27–28 May,Survation Archived 29 May 2021 at the Wayback Machine[30],Daily Mail,UK,1010,43%,33%,10%,5%,5%,—,0%,5%,10
27–28 May,Number Cruncher Politics,,UK,1001,44%,32%,7%,5%,8%,2%,1%,1%,12
25–26 May,Survation,,UK,1041,44%,33%,8%,4%,6%,—,0%,4%,11
24 May,Redfield & Wilton,,GB,2000,43%,33%,10%,4%,5%,3%,1%,2%,10
21–23 May,Savanta ComRes,,UK,2215,43%,34%,9%,4%,4%,2%,1%,5%,9
19–20 May,YouGov,The Times,GB,1699,46%,28%,8%,5%,8%,2%,1%,1%,18
17 May,Redfield & Wilton,,GB,2000,42%,33%,10%,4%,6%,2%,1%,2%,9
14–16 May,Savanta ComRes,,UK,2131,43%,32%,8%,4%,5%,2%,1%,5%,11
13–15 May,FindOutNow (MRP),The Sunday Telegraph,GB,14715,43%,30%,11%,5%,9%,2%,1%,—,13
13–14 May,Opinium,The Observer,GB,2004,44%,31%,8%,5%,7%,0%,1%,5% UKIP on 2% Other on 3%,13
13 May,Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31],Airdrie and Shotts by-election (SNP hold)[31]
11–12 May,YouGov,The Times,GB,1647,45%,30%,7%,5%,8%,2%,1%,2%,15
10 May,Redfield & Wilton,,GB,2000,45%,34%,8%,4%,5%,2%,0%,2%,11
7–9 May,Savanta ComRes,,UK,2152,42%,34%,8%,5%,4%,2%,1%,5%,8
6 May,Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35],Local elections in England and Wales;[32] Scottish Parliament election[33] and Senedd election;[34] Hartlepool by-election (Con gain from Lab)[35]
4–5 May,YouGov,The Times,GB,1683,43%,33%,7%,5%,6%,3%,1%,2%,10
4–5 May,Panelbase Archived 6 May 2021 at the Wayback Machine,,GB,1003,45%,36%,6%,4%,5%,—,1%,3%,9
3 May,Redfield & Wilton,,GB,2000,40%,38%,7%,4%,5%,3%,1%,1%,2
30 Apr – 2 May,Savanta ComRes,,UK,2242,40%,36%,8%,4%,4%,2%,1%,4%,4
29–30 Apr,Focaldata,The Sunday Times,GB,1555,40%,39%,6%,4%,4%,3%,1%,2%,1
28–30 Apr,Opinium,The Observer,GB,2001,42%,37%,7%,5%,4%,0%,1%,4% UKIP on 2% Other on 2%,5
28–29 Apr,Number Cruncher Politics[permanent dead link],,UK,1001,43%,34%,5%,5%,7%,2%,1%,2%,9
27–29 Apr,Survation,Daily Mail,UK,1077,39%,38%,9%,4%,6%,—,0%,5%,1
27–28 Apr,YouGov,The Times,GB,1803,44%,33%,7%,4%,7%,3%,1%,1%,11
26 Apr,Redfield & Wilton,,GB,2000,44%,34%,8%,5%,4%,3%,1%,1%,10
22–26 Apr,Kantar Public,,GB,1115,41%,33%,10%,5%,7%,3%,0%,1%,8
22–26 Apr,BMG,The Independent,GB,1500,39%,35%,9%,4%,6%,3%,1%,2%,4
23–25 Apr,Savanta ComRes,,UK,2144,42%,35%,8%,5%,3%,2%,1%,4%,7
21–23 Apr,Opinium,The Observer,GB,2000,44%,33%,7%,6%,5%,0%,1%,5% UKIP on 2% Other on 3%,11
21–22 Apr,YouGov,The Times,GB,1730,44%,34%,5%,5%,7%,2%,1%,2%,10
16–22 Apr,Ipsos,Evening Standard,GB,1090,40%,37%,8%,6%,5%,2%,1%,2% UKIP on 1% Other on 1%,3
19 Apr,Redfield & Wilton,,GB,2000,44%,34%,10%,4%,4%,3%,1%,2%,10
15–19 Apr,Survation,,UK,1008,40%,34%,9%,4%,7%,—,1%,6%,6
16–18 Apr,Savanta ComRes,,UK,2094,43%,34%,7%,5%,4%,1%,1%,5%,9
13–14 Apr,YouGov,The Times,GB,1689,43%,29%,8%,5%,8%,3%,1%,2%,14
12 Apr,Redfield & Wilton,,GB,2000,43%,36%,7%,4%,5%,3%,1%,2%,7
9–11 Apr,Savanta ComRes,,UK,2174,42%,35%,7%,5%,4%,2%,1%,4%,7
8–10 Apr,Survation,,UK,1009,43%,35%,8%,3%,4%,—,1%,5%,8
