Date,Brand,Seat,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote,2PP vote,2PP vote
Date,Brand,Seat,Sample size,L/NP,ALP,IND,GRN,ON,UAP,OTH,L/NP,ALP,IND,GRN
15 May 2022,Industry Association[154],Lindsay,800,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57%,43%,—N/a,—N/a
3–14 May 2022,RedBridge[155],North Sydney,1267,33.3%,17.8%,23.5%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
1–7 May 2022,RedBridge[156],Wentworth,1117,36.0%,11.7%,33.3%,6.2%,—N/a,5.3%,—N/a,—N/a,—N/a,—N/a,—N/a
6 May 2022,Compass Polling[157],North Sydney,507,40.5%,21.6%,13.6%,12.9%,3.0%,1.4%,6.1%,54%,46%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Banks,—N/a,45%,38%,[note 1],9%,2%,3%,3%,52%,48%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Barton,—N/a,36%,49%,[note 1],9%,2%,3%,3%,41%,59%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Bennelong,—N/a,44%,40%,[note 1],9%,2%,3%,2%,50%,50%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Blaxland,—N/a,29%,50%,[note 1],13%,3%,5%,—N/a,36%,64%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Berowra,—N/a,50%,29%,[note 1],12%,3%,1%,5%,58%,42%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Bradfield,—N/a,49%,30%,[note 1],11%,2%,3%,5%,58%,42%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Calare,—N/a,43%,26%,[note 1],5%,9%,6%,11%,60%,40%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Chifley,—N/a,28%,50%,[note 1],6%,4%,2%,10%,40%,60%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Cook,—N/a,55%,29%,[note 1],7%,4%,5%,—N/a,62%,38%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Cowper,—N/a,42%,21%,[note 1],7%,11%,2%,17%,68%,32%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Cunningham,—N/a,29%,46%,[note 1],15%,3%,6%,1%,37%,63%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Dobell,—N/a,36%,42%,[note 1],9%,4%,6%,3%,46%,54%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Eden-Monaro,—N/a,35%,44%,[note 1],7%,3%,2%,9%,43%,57%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Farrer,—N/a,48%,21%,[note 1],7%,9%,5%,10%,73%,27%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Fowler,—N/a,28%,50%,[note 1],7%,5%,6%,4%,38%,62%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Gilmore,—N/a,39%,39%,[note 1],11%,5%,2%,4%,47%,53%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Grayndler,—N/a,20%,53%,[note 1],20%,1%,1%,5%,—N/a,69%,—N/a,31%
14 Apr – 7 May 2022,YouGov[158],Greenway,—N/a,38%,44%,[note 1],8%,3%,2%,5%,47%,53%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Hughes,—N/a,42%,31%,[note 1],6%,2%,5%,14%,56%,44%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Hume,—N/a,47%,32%,[note 1],6%,4%,5%,6%,59%,41%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Hunter,—N/a,16%,42%,[note 1],10%,16%,6%,10%,40%,60%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Kingsford Smith,—N/a,35%,44%,[note 1],15%,2%,4%,—N/a,41%,59%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Lindsay,—N/a,40%,40%,[note 1],8%,6%,3%,3%,50%,50%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Lyne,—N/a,38%,28%,[note 1],6%,6%,3%,19%,56%,44%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Macarthur,—N/a,28%,51%,[note 1],8%,7%,4%,2%,38%,62%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Mackellar,—N/a,45%,20%,[note 1],7%,3%,2%,23%,53%,—N/a,47%,—N/a
14 Apr – 7 May 2022,YouGov[158],Macquarie,—N/a,39%,40%,[note 1],10%,3%,2%,6%,47%,53%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],McMahon,—N/a,35%,39%,[note 1],7%,5%,5%,5%,44%,56%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Mitchell,—N/a,50%,30%,[note 1],10%,5%,3%,2%,59%,41%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],New England,—N/a,40%,21%,[note 1],6%,10%,3%,20%,68%,32%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Newcastle,—N/a,27%,50%,[note 1],15%,3%,2%,3%,33%,67%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],North Sydney,—N/a,38%,30%,[note 1],10%,2%,2%,18%,53%,47%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Page,—N/a,37%,31%,[note 1],9%,6%,2%,15%,52%,48%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Parkes,—N/a,35%,32%,[note 1],5%,7%,4%,17%,54%,46%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Parramatta,—N/a,37%,47%,[note 1],7%,3%,2%,4%,43%,57%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Paterson,—N/a,30%,47%,[note 1],7%,10%,3%,3%,42%,58%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Reid,—N/a,37%,44%,[note 1],11%,2%,3%,3%,44%,56%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Richmond,—N/a,25%,32%,[note 1],18%,3%,2%,20%,41%,59%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Riverina,—N/a,41%,29%,[note 1],6%,6%,5%,13%,59%,41%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Robertson,—N/a,39%,39%,[note 1],9%,5%,5%,3%,49%,51%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Shortland,—N/a,28%,43%,[note 1],11%,3%,5%,10%,40%,60%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Sydney,—N/a,23%,51%,[note 1],21%,1%,2%,2%,28%,72%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Warringah,—N/a,32%,12%,[note 1],5%,4%,2%,45%,41%,—N/a,59%,—N/a
14 Apr – 7 May 2022,YouGov[158],Watson,—N/a,29%,55%,[note 1],7%,5%,4%,11%,35%,65%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Wentworth,—N/a,48%,16%,[note 1],5%,3%,2%,26%,56%,—N/a,44%,—N/a
14 Apr – 7 May 2022,YouGov[158],Werriwa,—N/a,36%,41%,[note 1],7%,4%,5%,7%,47%,53%,—N/a,—N/a
14 Apr – 7 May 2022,YouGov[158],Whitlam,—N/a,23%,50%,[note 1],12%,6%,5%,4%,36%,64%,—N/a,—N/a
28 Apr 2022,RedBridge[159],Parramatta,—N/a,26.4%,32.4%,[note 1],10.7%,—N/a,7.2%,11.9%,45%,55%,—N/a,—N/a
28 Apr 2022,RedBridge[159],Wentworth,—N/a,36.6%,16.2%,24.3%,7.0%,—N/a,6.3%,5.3%,47%,—N/a,53%,—N/a
11–12 Apr 2022,Community Engagement[160],North Sydney,1114,37.4%,17.4%,19.4%,8.7%,—N/a,5.6%,—N/a,—N/a,—N/a,—N/a,—N/a
7 Apr 2022,uComms[161],Mackellar,833,35.2%,18.0%,23.9%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
20–21 Mar 2022,KJC Research[162],Wentworth,1036,42%,14%,27%,9%,—N/a,3%,4%,49%,—N/a,51%,—N/a
28 Jan 2022,uComms[163],Wentworth,850,35.6%,18.6%,27.7%,7.5%,—N/a,—N/a,—N/a,44%,—N/a,56%,—N/a
28 Jan 2022,uComms[163],North Sydney,850,34.1%,22.9%,20%,11.2%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
